index,partition,label,gloss,original_filename
0,train,1,BACKPACK1,4520498201410337-BACKPACK.mp4
1,train,7,BREAKFAST1,7809503445047001-BREAKFAST.mp4
2,train,19,DOG1,49288220098651747-DOG.mp4
3,train,1,BACKPACK1,8875256912597131-BACKPACK.mp4
4,train,7,BREAKFAST1,13959766874483237-BREAKFAST.mp4
5,train,19,DOG1,11432147423106453-DOG.mp4
6,train,14,DARK1,0525121513125173-DARK.mp4
7,train,27,GUESS1,24946258334528815-GUESS.mp4
8,train,17,DEMAND1,2889534487412355-DEMAND.mp4
9,train,26,FOREIGNER1,0955181553369353-FOREIGNER.mp4
10,train,20,DOWNSIZE1,6833661881907038-DOWNSIZE.mp4
11,train,30,HURDLE/TRIP1,05804557658914389-HURDLE-TRIP.mp4
12,train,1,BACKPACK1,14052296225070893-BACKPACK.mp4
13,train,23,EDIT1,25932604034382734-EDIT.mp4
14,train,46,SPECIAL1,718637403722669-SPECIAL.mp4
15,train,13,CONFUSED1,3971071828139323-CONFUSED.mp4
16,train,1,BACKPACK1,402799943476833-BACKPACK.mp4
17,train,7,BREAKFAST1,12841038226728507-BREAKFAST.mp4
18,train,19,DOG1,17777316675017052-DOG.mp4
19,train,14,DARK1,26439420589592477-DARK.mp4
20,train,8,CALENDAR1,1383203105819133-CALENDAR.mp4
21,train,49,WHATFOR1,6445331634562388-WHAT FOR.mp4
22,train,27,GUESS1,7383284467475846-GUESS.mp4
23,train,17,DEMAND1,21726284787567063-DEMAND.mp4
24,train,26,FOREIGNER1,5632090317291663-FOREIGNER.mp4
25,train,40,PATIENT2,21338949344886227-PATIENT 2.mp4
26,train,32,LOCK1,8089330458355601-LOCK.mp4
27,train,5,BELT1,7102622774546783-BELT.mp4
28,train,3,BEE1,6942834524009942-BEE.mp4
29,train,47,TWINS1,4612467897905175-TWINS.mp4
30,train,10,CANCER1,9502926253049975-CANCER.mp4
31,train,29,HOSPITAL1,7900722949705501-HOSPITAL.mp4
32,train,2,BASKETBALL1,16099487151956193-BASKETBALL.mp4
33,train,25,FINE1,23481071177880364-FINE.mp4
