label,gloss,mp4_example
0,AXE1,AXE1.mp4
1,BACKPACK1,BACKPACK1.mp4
2,BASKETBALL1,BASKETBALL1.mp4
3,BEE1,BEE1.mp4
4,BELIEVE1,BELIEVE1.mp4
5,BELT1,BELT1.mp4
6,BITE1,
7,BREAKFAST1,BREAKFAST1.mp4
8,CALENDAR1,CALENDAR1.mp4
9,CANCEL1,CANCEL1.mp4
10,CANCER1,CANCER1.mp4
11,CHRISTMAS1,CHRISTMAS1.mp4
12,CLOUD1,CLOUD1.mp4
13,CONFUSED1,CONFUSED1.mp4
14,DARK1,DARK1.mp4
15,DEAF1,DEAF1.mp4
16,DECIDE1,DECIDE1.mp4
17,DEMAND1,DEMAND1.mp4
18,DINNER1,DINNER1.mp4
19,DOG1,DOG1.mp4
20,DOWNSIZE1,DOWNSIZE1.mp4
21,DRAG1,DRAG1.mp4
22,EAT1,EAT1.mp4
23,EDIT1,EDIT1.mp4
24,ELEVATOR1,ELEVATOR1.mp4
25,FINE1,FINE1.mp4
26,FOREIGNER1,FOREIGNER1.mp4
27,GUESS1,GUESS1.mp4
28,HALLOWEEN1,HALLOWEEN1.mp4
29,HOSPITAL1,HOSPITAL1.mp4
30,HURDLE/TRIP1,HURDLE/TRIP1.mp4
31,LETTUCE1,LETTUCE1.mp4
32,LOCK1,LOCK1.mp4
33,LUNCH1,LUNCH1.mp4
34,MECHANIC1,MECHANIC1.mp4
35,MICROSCOPE1,MICROSCOPE1.mp4
36,MOVIE1,MOVIE1.mp4
37,NIGHT1,NIGHT1.mp4
38,NOON1,NOON1.mp4
39,PARTY1,PARTY1.mp4
40,PATIENT2,PATIENT2.mp4
41,RECENT1,RECENT1.mp4
42,RESEARCH1,RESEARCH1.mp4
43,RIVER1,RIVER1.mp4
44,ROCKINGCHAIR1,ROCKINGCHAIR1.mp4
45,SHAVE1,SHAVE1.mp4
46,SPECIAL1,SPECIAL1.mp4
47,TWINS1,TWINS1.mp4
48,TYPE1,TYPE1.mp4
49,WHATFOR1,WHATFOR1.mp4
