label,gloss,mp4_example
0,A,A.mp4
1,B,B.mp4
2,C,C.mp4
3,D,D.mp4
4,E,E.mp4
5,F,F.mp4
6,G,G.mp4
7,H,H.mp4
8,I,I.mp4
9,K,K.mp4
10,L,L.mp4
11,M,M.mp4
12,N,N.mp4
13,O,O.mp4
14,P,P.mp4
15,Q,Q.mp4
16,R,R.mp4
17,S,S.mp4
18,T,T.mp4
19,U,U.mp4
20,V,V.mp4
21,W,W.mp4
22,X,X.mp4
23,Y,Y.mp4
24,accident,accident.mp4
25,apple,apple.mp4
26,bar,bar.mp4
27,basketball,basketball.mp4
28,bed,bed.mp4
29,bowling,bowling.mp4
30,brother,brother.mp4
31,call,call.mp4
32,candy,candy.mp4
33,champion,champion.mp4
34,change,change.mp4
35,check,check.mp4
36,cold,cold.mp4
37,computer,computer.mp4
38,corn,corn.mp4
39,cousin,cousin.mp4
40,dark,dark.mp4
41,deaf,deaf.mp4
42,delay,delay.mp4
43,dog,dog.mp4
44,environment,environment.mp4
45,example,example.mp4
46,family,family.mp4
47,far,far.mp4
48,help,help.mp4
49,last,last.mp4
50,later,later.mp4
51,laugh,laugh.mp4
52,leave,leave.mp4
53,letter,letter.mp4
54,man,man.mp4
55,mother,mother.mp4
56,no,no.mp4
57,pizza,pizza.mp4
58,play,play.mp4
59,room,room.mp4
60,score,score.mp4
61,shirt,shirt.mp4
62,short,short.mp4
63,soon,soon.mp4
64,take,take.mp4
65,tall,tall.mp4
66,thanksgiving,thanksgiving.mp4
67,thursday,thursday.mp4
68,trade,trade.mp4
69,walk,walk.mp4
70,what,what.mp4
71,who,who.mp4
72,why,why.mp4
73,yes,yes.mp4
